Koordinatensystem : Lambert konform konisch
Rechtswert        : 4210500 Meter
Hochwert          : 2861500 Meter
Hoehenlage        : 32 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4210500 2861500  3 20 21   5.7 1026  33  1.7 7  2.9  50    0    0 293 -338  1
4210500 2861500  3 20 22   4.7 1026 358  1.6 6  2.8  51    0    0 286 -338  1
4210500 2861500  3 20 23   3.8 1026  24  1.0 6  2.8  55    0    0 279 -337  1
4210500 2861500  3 20 24   2.6 1026 147  1.3 5  2.8  60    0    0 271 -338  1
4210500 2861500  3 21  1   1.0 1025 235  2.1 6  2.8  66    0    0 270 -338  1
4210500 2861500  3 21  2  -0.5 1025 223  1.8 6  2.8  74    0    0 275 -337  1
4210500 2861500  3 21  3   1.0 1025 246  1.5 6  3.0  78    0    0 278 -336  1
4210500 2861500  3 21  4   2.2 1025 260  2.4 7  3.2  77    0    0 290 -336  1
4210500 2861500  3 21  5   3.0 1024 274  2.6 7  3.5  77    0    0 300 -337  1
4210500 2861500  3 21  6   3.4 1024 272  3.0 7  3.7  79    0    0 304 -337  1
4210500 2861500  3 21  7   3.2 1023 284  3.4 8  4.0  84    3   12 313 -338  1
4210500 2861500  3 21  8   3.9 1023 285  3.9 7  4.2  87   37   45 315 -339  1
4210500 2861500  3 21  9   4.3 1023 285  4.4 8  4.4  88    7  107 317 -340  1
4210500 2861500  3 21 10   4.4 1023 302  4.6 8  4.5  87    0   98 325 -342  1
4210500 2861500  3 21 11   4.6 1023 309  4.1 7  4.4  85    0  114 318 -344  1
4210500 2861500  3 21 12   4.6 1023 302  4.6 7  4.4  84    0  124 311 -347  1
4210500 2861500  3 21 13   5.0 1023 302  4.1 8  4.5  85    0  119 317 -352  1
4210500 2861500  3 21 14   5.5 1023 302  4.2 8  4.6  85    0   97 326 -355  1
4210500 2861500  3 21 15   5.9 1023 301  4.6 7  4.8  85    0   98 323 -357  1
4210500 2861500  3 21 16   6.6 1022 296  3.7 7  4.9  84    0   84 320 -357  1
4210500 2861500  3 21 17   6.9 1022 289  3.8 8  5.0  83    0   61 329 -356  1
4210500 2861500  3 21 18   6.7 1021 288  3.6 8  5.0  83    0   26 336 -355  1
4210500 2861500  3 21 19   6.7 1021 284  3.8 7  5.0  83    0    2 329 -354  1
4210500 2861500  3 21 20   6.8 1021 287  4.2 7  5.1  84    0    0 322 -353  1
4210500 2861500  3 21 21   6.7 1021 301  4.7 8  5.1  84    0    0 330 -352  1
4210500 2861500  3 21 22   6.4 1021 307  4.7 8  5.1  85    0    0 338 -352  1
4210500 2861500  3 21 23   6.1 1021 288  5.0 7  5.1  87    0    0 330 -351  1
4210500 2861500  3 21 24   5.8 1021 283  4.6 8  5.1  88    0    0 329 -350  1
4210500 2861500  3 22  1   5.8 1021 293  3.8 8  5.1  89    0    0 336 -349  1
4210500 2861500  3 22  2   5.8 1020 305  3.8 8  5.0  88    0    0 336 -348  1
4210500 2861500  3 22  3   5.6 1020 307  4.5 8  5.0  88    0    0 335 -348  1
4210500 2861500  3 22  4   5.4 1020 317  4.0 8  5.0  90    0    0 335 -347  1
4210500 2861500  3 22  5   5.2 1019 311  3.1 8  5.0  91    0    0 334 -347  1
4210500 2861500  3 22  6   5.1 1019 291  3.6 8  5.0  91    0    0 333 -346  1
4210500 2861500  3 22  7   5.0 1019 288  4.0 8  5.0  92    0    8 332 -346  1
4210500 2861500  3 22  8   4.5 1019 288  4.1 8  4.9  93    1   58 330 -347  1
4210500 2861500  3 22  9   4.8 1019 274  3.7 8  5.0  94    0   98 329 -349  1
4210500 2861500  3 22 10   4.9 1019 300  4.4 7  5.0  94    0  115 323 -351  1
4210500 2861500  3 22 11   5.2 1020 300  3.8 8  5.1  94    0  103 322 -355  1
4210500 2861500  3 22 12   5.6 1020 290  4.3 8  5.2  94    0   92 328 -360  1
4210500 2861500  3 22 13   6.6 1019 294  4.0 8  5.3  91    0  111 328 -361  1
4210500 2861500  3 22 14   7.3 1019 336  3.7 8  5.2  84    0   98 328 -362  1
4210500 2861500  3 22 15   7.2 1019 313  3.7 8  5.1  80    0  107 329 -364  1
4210500 2861500  3 22 16   7.7 1018 312  2.4 8  5.0  78    1  137 328 -363  1
4210500 2861500  3 22 17   8.0 1018 293  2.3 5  4.9  75   18  139 313 -362  1
4210500 2861500  3 22 18   8.3 1018 263  1.9 2  4.8  72   18   70 280 -359  1
4210500 2861500  3 22 19   6.2 1017 233  2.0 1  4.7  74    0    8 257 -356  1
4210500 2861500  3 22 20   5.1 1017 216  1.8 1  4.6  81    0    0 246 -353  1
4210500 2861500  3 22 21   4.7 1018 241  1.9 1  4.5  84    0    0 243 -352  1
4210500 2861500  3 22 22   3.7 1018 270  1.9 0  4.4  87    0    0 236 -350  1
4210500 2861500  3 22 23   2.9 1017 330  1.4 0  4.2  89    0    0 228 -348  1
4210500 2861500  3 22 24   2.4 1017 176  0.8 0  4.1  90    0    0 226 -344  1
4210500 2861500  3 23  1   1.6 1017 248  2.2 0  4.0  92    0    0 225 -342  1
4210500 2861500  3 23  2  -0.4 1017 355  0.2 2  3.7  94    0    0 229 -340  1
4210500 2861500  3 23  3   1.9 1017 346  0.8 4  3.8  95    0    0 247 -338  1
4210500 2861500  3 23  4   3.0 1016 302  0.9 4  4.2  94    0    0 261 -336  1
4210500 2861500  3 23  5   3.8 1016 353  0.3 4  4.6  94    0    0 266 -335  1
4210500 2861500  3 23  6   3.4 1015  14  0.8 6  4.7  96    0    0 276 -333  1
4210500 2861500  3 23  7   4.2 1015 154  1.1 5  4.8  96    0   15 281 -332  1
4210500 2861500  3 23  8   4.7 1015 188  1.4 6  5.0  97   12   73 282 -334  1
4210500 2861500  3 23  9   5.7 1015 182  1.7 6  5.3  96   32  154 286 -342  1
4210500 2861500  3 23 10   6.7 1015 216  1.9 4  5.2  89  114  223 281 -352  1
4210500 2861500  3 23 11   8.7 1015 237  1.7 1  5.2  80  323  213 267 -363  1
4210500 2861500  3 23 12  10.5 1014 239  2.3 2  5.4  72  395  220 269 -373  1
4210500 2861500  3 23 13  11.3 1014 247  3.2 2  5.4  67  309  267 281 -380  1
4210500 2861500  3 23 14  12.1 1014 282  4.6 2  5.4  63  247  274 289 -382  1
4210500 2861500  3 23 15  10.9 1013 292  4.5 2  5.2  62  223  240 291 -379  1
4210500 2861500  3 23 16  11.2 1013 335  3.2 3  5.2  63  146  200 292 -374  1
4210500 2861500  3 23 17  11.1 1013 289  2.2 1  5.0  61  116  129 288 -368  1
4210500 2861500  3 23 18  10.3 1012 336  2.7 1  4.9  62   25   63 278 -365  1
4210500 2861500  3 23 19   9.3 1012  80  1.5 1  4.8  64    0    8 272 -362  1
4210500 2861500  3 23 20   7.2 1013 154  0.6 0  4.6  68    0    0 259 -358  1
4210500 2861500  3 23 21   6.5 1013 326  0.5 0  4.6  75    0    0 247 -355  1
4210500 2861500  3 23 22   5.5 1013  17  0.7 0  4.5  78    0    0 242 -354  1
4210500 2861500  3 23 23   4.4 1013 177  0.0 0  4.4  82    0    0 237 -354  1
4210500 2861500  3 23 24   3.4 1013  43  0.8 0  4.2  84    0    0 231 -353  1
4210500 2861500  3 24  1   2.6 1013  37  0.4 1  4.0  85    0    0 232 -352  1
4210500 2861500  3 24  2   2.1 1013   6  0.8 3  3.9  87    0    0 243 -351  1
4210500 2861500  3 24  3   2.2 1012   8  0.4 6  3.9  88    0    0 266 -350  1
4210500 2861500  3 24  4   2.0 1012 225  0.4 6  3.9  89    0    0 279 -350  1
4210500 2861500  3 24  5   2.0 1012 350  0.6 6  4.0  91    0    0 280 -349  1
4210500 2861500  3 24  6   2.8 1012  23  0.7 6  4.1  91    0    0 281 -349  1
4210500 2861500  3 24  7   3.6 1011  62  0.6 6  4.2  89    4   17 282 -348  1
4210500 2861500  3 24  8   4.4 1012 144  0.8 6  4.5  89   36   88 283 -348  1
4210500 2861500  3 24  9   6.3 1012  18  0.7 5  4.9  88  119  163 280 -347  1
4210500 2861500  3 24 10   9.0 1012  11  1.4 2  5.0  76  220  215 259 -346  1
4210500 2861500  3 24 11  10.8 1012 355  2.7 1  4.8  63  298  253 239 -347  1
4210500 2861500  3 24 12  11.9 1013 344  2.8 2  4.7  56  335  276 243 -350  1
4210500 2861500  3 24 13  12.5 1012 343  3.6 5  4.6  52  104  335 271 -354  1
4210500 2861500  3 24 14  12.1 1012 355  3.8 5  4.6  52   64  306 289 -359  1
4210500 2861500  3 24 15  12.6 1012 333  3.8 3  4.7  53  121  284 276 -364  1
4210500 2861500  3 24 16  12.4 1012 319  4.0 3  4.6  51  129  222 263 -363  1
4210500 2861500  3 24 17  12.3 1011 323  3.8 3  4.3  48   31  144 263 -358  1
4210500 2861500  3 24 18  10.5 1011   5  4.0 3  4.4  53   10   63 261 -352  1
4210500 2861500  3 24 19   9.3 1012  26  2.4 3  4.8  63    0    9 258 -343  1
4210500 2861500  3 24 20   8.3 1012  54  2.3 2  4.6  66    0    0 250 -336  1
4210500 2861500  3 24 21   7.3 1012  72  1.8 1  4.6  70    0    0 228 -330  1
4210500 2861500  3 24 22   6.5 1012  82  1.6 0  4.5  72    0    0 214 -326  1
4210500 2861500  3 24 23   6.3 1012 116  1.9 0  4.4  72    0    0 218 -321  1
4210500 2861500  3 24 24   6.5 1012 156  2.4 0  4.3  71    0    0 216 -317  1
4210500 2861500  3 25  1   6.9 1022 208  3.0 1  4.4  70    0    0 247 -340  1
4210500 2861500  3 25  2   7.2 1021 251  3.7 1  4.4  70    0    0 242 -338  1
4210500 2861500  3 25  3   7.3 1020 282  3.9 3  4.5  70    0    0 250 -336  1
4210500 2861500  3 25  4   7.0 1020 278  3.8 4  4.5  73    0    0 268 -335  1
4210500 2861500  3 25  5   7.1 1019 268  3.4 5  4.5  72    0    0 286 -334  1
4210500 2861500  3 25  6   6.9 1018 254  3.0 7  4.6  75    0    0 298 -332  1
4210500 2861500  3 25  7   7.1 1017 248  2.7 8  4.6  74    0    8 306 -331  1
4210500 2861500  3 25  8   7.3 1017 273  2.5 7  4.6  73    0   36 309 -334  1
4210500 2861500  3 25  9   7.6 1016 258  3.3 8  4.7  73    0   53 312 -342  1
4210500 2861500  3 25 10   8.4 1016 257  4.3 8  4.8  72    0   84 320 -354  1
4210500 2861500  3 25 11   8.9 1015 282  4.3 8  4.9  71    0   81 324 -363  1
4210500 2861500  3 25 12   9.3 1014 296  4.9 8  5.2  72    0   94 328 -365  1
4210500 2861500  3 25 13   9.6 1013 293  5.4 8  5.3  72    0  125 329 -365  1
4210500 2861500  3 25 14  10.1 1013 297  5.3 7  5.1  67    0  130 324 -372  1
4210500 2861500  3 25 15  10.3 1012 284  5.4 7  4.7  61    0  144 318 -376  1
4210500 2861500  3 25 16  10.2 1011 277  5.2 7  4.5  58    0  107 317 -373  1
4210500 2861500  3 25 17   9.9 1011 261  3.8 7  4.5  59    0   54 315 -370  1
4210500 2861500  3 25 18   9.5 1010 309  4.7 8  4.5  60    0   22 316 -367  1
4210500 2861500  3 25 19   9.0 1010 318  3.6 7  4.5  61    0    0 313 -363  1
4210500 2861500  3 25 20   8.6 1009 308  3.8 7  4.4  63    0    0 308 -359  1
4210500 2861500  3 25 21   8.2 1009 293  4.1 8  4.3  63    0    0 311 -356  1
4210500 2861500  3 25 22   7.9 1009 295  4.8 7  4.2  62    0    0 312 -353  1
4210500 2861500  3 25 23   7.5 1009 289  4.4 8  4.1  62    0    0 311 -350  1
4210500 2861500  3 25 24   7.2 1008 289  4.4 8  4.1  64    0    0 315 -347  1
4210500 2861500  3 26  1   6.7 1008 293  4.7 8  4.2  68    0    0 314 -343  1
4210500 2861500  3 26  2   6.4 1008 284  4.9 8  4.4  72    0    0 314 -341  1
4210500 2861500  3 26  3   6.0 1008 286  4.6 8  4.5  76    0    0 313 -340  1
4210500 2861500  3 26  4   5.7 1008 295  3.6 8  4.5  78    0    0 313 -338  1
4210500 2861500  3 26  5   5.5 1008 285  4.8 8  4.6  81    0    0 313 -337  1
4210500 2861500  3 26  6   4.7 1008 309  4.0 8  4.6  83    0    0 311 -336  1
4210500 2861500  3 26  7   3.4 1008 334  3.9 8  4.5  88    0    6 309 -335  1
4210500 2861500  3 26  8   3.3 1009 319  3.3 8  4.5  92    0   36 307 -333  1
4210500 2861500  3 26  9   3.6 1009 305  3.1 6  4.5  92    5  131 297 -333  1
4210500 2861500  3 26 10   4.8 1010 319  3.3 5  4.4  86   92  209 280 -333  1
4210500 2861500  3 26 11   5.3 1011 322  3.5 5  4.0  73  126  249 274 -334  1
4210500 2861500  3 26 12   5.9 1011 334  3.1 6  3.4  59   54  280 281 -338  1
4210500 2861500  3 26 13   6.8 1011 330  4.5 5  2.8  46   85  291 279 -340  1
4210500 2861500  3 26 14   7.5 1011 333  3.5 4  2.4  39  151  266 267 -346  1
4210500 2861500  3 26 15   7.4 1011 343  2.9 5  2.5  38  113  238 268 -351  1
4210500 2861500  3 26 16   7.1 1012   1  3.8 5  2.6  40   51  189 274 -348  1
4210500 2861500  3 26 17   6.4 1012  13  3.3 6  2.7  44   33  130 277 -343  1
4210500 2861500  3 26 18   5.2 1012  32  4.7 6  2.8  50    5   53 280 -337  1
4210500 2861500  3 26 19   4.4 1013  51  3.5 4  2.9  54    0    0 265 -329  1
4210500 2861500  3 26 20   3.0 1014  73  3.7 3  3.0  60    0    0 245 -322  1
4210500 2861500  3 26 21   2.2 1015  67  3.1 2  3.1  68    0    0 232 -317  1
4210500 2861500  3 26 22   1.3 1016  90  4.1 2  3.2  75    0    0 225 -315  1
4210500 2861500  3 26 23   0.5 1016  87  2.8 2  3.3  81    0    0 223 -314  1
4210500 2861500  3 26 24   0.1 1016 120  2.2 2  3.3  84    0    0 223 -311  1
4210500 2861500  3 27  1  -0.2 1016 109  2.4 2  3.3  88    0    0 223 -309  1
4210500 2861500  3 27  2  -0.9 1016 118  1.9 1  3.3  91    0    0 218 -308  1
4210500 2861500  3 27  3  -0.6 1016  98  2.0 2  3.3  92    0    0 218 -308  1
4210500 2861500  3 27  4  -1.5 1016 135  2.0 4  3.2  92    0    0 232 -307  1
4210500 2861500  3 27  5  -0.9 1016 148  1.9 7  3.2  94    0    0 258 -306  1
4210500 2861500  3 27  6  -1.3 1016 150  1.9 8  3.4  97    0    0 279 -305  1
4210500 2861500  3 27  7  -1.2 1016 148  2.5 8  3.4  98    0   14 282 -304  1
4210500 2861500  3 27  8  -1.1 1016 149  2.7 8  3.4  99    0   57 281 -305  1
4210500 2861500  3 27  9  -0.4 1016 141  2.7 7  3.5  98    0  108 276 -310  1
4210500 2861500  3 27 10   0.6 1016 157  2.8 6  3.6  94    3  176 267 -317  1
4210500 2861500  3 27 11   2.2 1016 145  2.3 7  3.6  86   42  264 270 -326  1
4210500 2861500  3 27 12   4.1 1015 128  2.2 4  3.6  75  402  194 263 -336  1
4210500 2861500  3 27 13   6.3 1014 131  1.9 1  3.4  63  522  147 240 -348  1
4210500 2861500  3 27 14   6.5 1013 183  2.2 2  3.1  51  348  216 235 -355  1
4210500 2861500  3 27 15   7.6 1012 219  2.4 1  2.8  44  395  142 235 -357  1
4210500 2861500  3 27 16   8.0 1012 192  2.4 1  2.7  41  296  125 231 -353  1
4210500 2861500  3 27 17   7.6 1011 204  1.8 1  2.7  41  159  106 231 -346  1
4210500 2861500  3 27 18   7.0 1010 197  2.0 1  2.8  44   40   57 229 -337  1
4210500 2861500  3 27 19   5.6 1010 208  1.6 3  2.8  48    0    0 235 -326  1
4210500 2861500  3 27 20   3.9 1010 232  1.2 3  2.9  54    0    0 241 -318  1
4210500 2861500  3 27 21   2.5 1010 275  0.9 2  2.9  61    0    0 232 -315  1
4210500 2861500  3 27 22   1.9 1010 173  0.9 2  3.0  67    0    0 223 -313  1
4210500 2861500  3 27 23   0.5 1009 183  1.3 1  2.9  71    0    0 216 -310  1
4210500 2861500  3 27 24  -1.2 1009 223  1.6 1  2.9  79    0    0 207 -309  1
4210500 2861500  3 28  1  -0.6 1009 185  1.7 0  3.0  85    0    0 201 -308  1
4210500 2861500  3 28  2  -1.4 1008 220  1.8 0  3.0  86    0    0 195 -308  1
4210500 2861500  3 28  3  -2.0 1008 247  2.1 0  3.0  88    0    0 194 -308  1
4210500 2861500  3 28  4  -2.2 1008 264  2.1 0  2.9  88    0    0 193 -307  1
4210500 2861500  3 28  5  -2.6 1007 245  2.1 0  2.8  89    0    0 193 -306  1
4210500 2861500  3 28  6  -2.0 1007 234  1.7 1  2.9  89    0    0 200 -305  1
4210500 2861500  3 28  7  -0.6 1007 256  2.4 2  3.0  87   30   25 217 -304  1
4210500 2861500  3 28  8   2.5 1008 259  2.6 1  3.1  77  149   56 224 -306  1
4210500 2861500  3 28  9   4.9 1008 286  4.0 1  2.7  55  312   65 224 -311  1
4210500 2861500  3 28 10   6.4 1008 282  4.8 1  2.3  41  452   68 228 -320  1
4210500 2861500  3 28 11   7.9 1008 283  5.0 1  2.4  38  550   75 234 -327  1
4210500 2861500  3 28 12   9.2 1009 288  5.7 1  2.6  37  602   82 239 -330  1
4210500 2861500  3 28 13   9.4 1009 280  6.2 1  2.9  40  585   94 244 -339  1
4210500 2861500  3 28 14   8.4 1009 313  6.3 5  3.5  50   39  273 267 -349  1
4210500 2861500  3 28 15   8.0 1009 305  6.8 8  4.0  58    0  107 304 -356  1
4210500 2861500  3 28 16   8.1 1009 296  6.2 7  4.0  59    7  163 311 -359  1
4210500 2861500  3 28 17   8.1 1009 280  4.8 6  3.8  57   41  135 299 -356  1
4210500 2861500  3 28 18   8.0 1010 290  4.1 5  3.7  55   13   56 286 -348  1
4210500 2861500  3 28 19   6.7 1010 295  3.0 3  3.6  57    0    0 268 -338  1
4210500 2861500  3 28 20   4.9 1010 288  2.4 2  3.5  62    0    0 249 -330  1
4210500 2861500  3 28 21   4.9 1011 282  2.3 1  3.6  66    0    0 238 -326  1
4210500 2861500  3 28 22   2.3 1011 298  1.5 0  3.6  73    0    0 225 -321  1
4210500 2861500  3 28 23   1.9 1012 244  2.5 0  3.6  82    0    0 217 -317  1
4210500 2861500  3 28 24   0.2 1012 270  2.9 0  3.5  86    0    0 214 -315  1
4210500 2861500  3 29  1  -0.2 1012 274  2.9 0  3.3  88    0    0 209 -315  1
4210500 2861500  3 29  2   0.3 1013 276  2.8 0  3.3  86    0    0 209 -314  1
4210500 2861500  3 29  3  -0.1 1013 276  2.4 0  3.2  85    0    0 210 -313  1
4210500 2861500  3 29  4   0.3 1013 271  2.4 0  3.2  84    0    0 211 -312  1
4210500 2861500  3 29  5  -1.0 1013 265  2.4 0  3.2  85    0    0 211 -312  1
4210500 2861500  3 29  6  -1.4 1013 269  2.3 0  3.0  88    0    0 209 -311  1
4210500 2861500  3 29  7  -0.4 1013 256  2.3 1  3.2  90   34   27 215 -311  1
4210500 2861500  3 29  8   2.3 1013 260  2.4 0  3.4  84  152   64 220 -312  1
4210500 2861500  3 29  9   4.5 1013 252  3.3 0  3.5  73  301   79 222 -316  1
4210500 2861500  3 29 10   6.5 1013 253  3.1 0  3.3  59  430   90 226 -325  1
4210500 2861500  3 29 11   8.3 1013 260  4.0 0  3.1  49  520  103 231 -338  1
4210500 2861500  3 29 12   9.6 1013 263  3.3 0  3.2  45  569  113 238 -352  1
4210500 2861500  3 29 13  10.8 1012 249  3.4 0  3.3  42  577  116 246 -362  1
4210500 2861500  3 29 14  12.0 1012 250  3.9 0  3.2  38  542  112 252 -366  1
4210500 2861500  3 29 15  12.8 1011 250  4.3 0  3.1  35  453  111 257 -363  1
4210500 2861500  3 29 16  13.4 1011 236  4.1 0  3.1  33  329  105 260 -361  1
4210500 2861500  3 29 17  13.1 1010 266  4.3 0  3.2  33  185   91 262 -358  1
4210500 2861500  3 29 18  12.1 1010 286  3.5 1  3.3  36   52   54 263 -351  1
4210500 2861500  3 29 19  10.0 1010 275  2.3 0  3.4  41    0    0 258 -346  1
4210500 2861500  3 29 20   8.5 1010 273  1.6 0  3.4  47    0    0 248 -343  1
4210500 2861500  3 29 21   6.1 1010 258  1.3 0  3.5  55    0    0 243 -341  1
4210500 2861500  3 29 22   5.2 1011 261  1.2 0  3.6  63    0    0 239 -339  1
4210500 2861500  3 29 23   3.9 1011 295  1.0 0  3.6  68    0    0 236 -336  1
4210500 2861500  3 29 24   3.6 1011 189  0.8 0  3.6  73    0    0 234 -331  1
4210500 2861500  3 30  1   2.4 1011 271  0.7 0  3.7  78    0    0 232 -328  1
4210500 2861500  3 30  2   1.0 1011  16  0.5 0  3.5  82    0    0 228 -324  1
4210500 2861500  3 30  3   0.2 1011 170  0.6 0  3.4  85    0    0 224 -321  1
4210500 2861500  3 30  4  -0.1 1011   9  0.7 0  3.4  88    0    0 223 -318  1
4210500 2861500  3 30  5   0.1 1011  12  0.8 0  3.4  91    0    0 222 -317  1
4210500 2861500  3 30  6   0.0 1011  77  0.8 0  3.5  91    0    0 221 -317  1
4210500 2861500  3 30  7   1.3 1011  63  1.3 1  3.6  90   19   32 224 -319  1
4210500 2861500  3 30  8   5.0 1011 119  0.9 1  3.9  82   96   96 232 -325  1
4210500 2861500  3 30  9   9.6 1012 174  0.9 1  4.2  66  203  153 241 -336  1
4210500 2861500  3 30 10  12.1 1012 193  1.1 1  4.1  51  304  199 249 -350  1
4210500 2861500  3 30 11  13.3 1012 340  1.2 1  3.8  42  381  234 252 -364  1
4210500 2861500  3 30 12  14.6 1012 200  1.7 1  3.9  39  427  254 258 -378  1
4210500 2861500  3 30 13  15.6 1012 248  2.1 1  3.9  37  435  259 262 -388  1
4210500 2861500  3 30 14  16.1 1011 281  1.4 2  3.9  35  373  253 268 -392  1
4210500 2861500  3 30 15  16.4 1011 263  1.6 4  3.9  34  195  274 282 -394  1
4210500 2861500  3 30 16  16.2 1011 263  1.5 5  3.9  34   88  230 292 -392  1
4210500 2861500  3 30 17  15.9 1011   6  1.7 6  3.9  34   32  148 297 -386  1
4210500 2861500  3 30 18  14.8 1010  19  2.1 7  4.0  37    8   60 301 -376  1
4210500 2861500  3 30 19  13.9 1011  42  2.1 6  4.0  40    0    1 297 -363  1
4210500 2861500  3 30 20  11.9 1011  69  2.1 5  4.0  43    0    0 285 -353  1
4210500 2861500  3 30 21  10.8 1011  78  2.3 5  4.1  48    0    0 279 -348  1
4210500 2861500  3 30 22   9.5 1012  97  2.8 6  4.1  54    0    0 280 -345  1
4210500 2861500  3 30 23   8.8 1012  96  2.5 6  4.2  58    0    0 281 -341  1
4210500 2861500  3 30 24   9.1 1012 108  2.4 6  4.2  59    0    0 283 -339  1
4210500 2861500  3 31  1  10.0 1011 145  2.8 6  4.3  58    0    0 287 -337  1
4210500 2861500  3 31  2   9.8 1011 167  2.6 7  4.5  59    0    0 292 -335  1
4210500 2861500  3 31  3   8.5 1011 161  2.1 7  4.5  63    0    0 294 -334  1
4210500 2861500  3 31  4   7.7 1011 201  2.4 6  4.5  67    0    0 290 -334  1
4210500 2861500  3 31  5   8.1 1011 221  2.5 6  4.6  69    0    0 291 -334  1
4210500 2861500  3 31  6   8.6 1011 211  3.0 7  4.9  71    0    0 297 -333  1
4210500 2861500  3 31  7   9.2 1011 246  2.8 7  5.3  74    9   16 303 -333  1
4210500 2861500  3 31  8  10.8 1012 236  2.6 6  5.7  75    8   78 307 -338  1
4210500 2861500  3 31  9  12.4 1012 230  3.3 6  6.0  71   65  153 310 -347  1
4210500 2861500  3 31 10  12.9 1012 230  3.5 8  6.2  68    3  168 320 -358  1
4210500 2861500  3 31 11  13.1 1012 214  4.7 8  6.3  68    3  196 329 -369  1
4210500 2861500  3 31 12  13.6 1012 206  4.1 7  6.5  68   25  270 331 -378  1
4210500 2861500  3 31 13  14.9 1011 214  4.9 7  6.5  64   18  264 334 -385  1
4210500 2861500  3 31 14  15.5 1011 227  6.0 7  6.3  58   22  256 340 -390  1
4210500 2861500  3 31 15  15.9 1011 215  6.0 6  6.0  54   44  245 340 -393  1
4210500 2861500  3 31 16  15.5 1010 212  6.1 7  5.9  53   22  184 342 -387  1
4210500 2861500  3 31 17  15.6 1010 224  5.2 7  5.9  53    1   95 348 -383  1
4210500 2861500  3 31 18  14.5 1009 212  5.1 8  6.1  57    0   20 353 -382  1
4210500 2861500  3 31 19  13.2 1009 209  6.7 8  6.6  66    0    0 357 -377  1
4210500 2861500  3 31 20  11.3 1009 200  4.9 8  7.2  81    0    0 356 -373  1
4210500 2861500  3 31 21  11.4 1009 223  5.6 8  7.8  93    0    0 356 -371  1
4210500 2861500  3 31 22  12.0 1009 238  6.0 8  7.9  92    0    0 359 -371  1
4210500 2861500  3 31 23  12.0 1009 246  5.6 8  7.9  90    0    0 361 -370  1
4210500 2861500  3 31 24  12.1 1010 236  5.3 8  7.9  89    0    0 363 -371  1
4210500 2861500  4  1  1  12.0 1010 247  4.9 7  7.6  87    0    0 351 -371  1
4210500 2861500  4  1  2  11.7 1010 248  5.0 6  7.5  87    0    0 343 -371  1
4210500 2861500  4  1  3  11.2 1010 244  4.5 6  7.4  87    0    0 336 -371  1
4210500 2861500  4  1  4  11.7 1010 246  4.7 6  7.3  87    0    0 337 -371  1
4210500 2861500  4  1  5  11.5 1010 238  4.7 6  7.3  85    0    0 338 -371  1
4210500 2861500  4  1  6  11.5 1011 257  5.6 6  7.2  85    0    1 339 -370  1
4210500 2861500  4  1  7  12.2 1012 275  6.6 6  7.1  82    7   39 337 -369  1
4210500 2861500  4  1  8  12.4 1012 272  6.8 3  6.6  74  133   86 313 -370  1
4210500 2861500  4  1  9  13.1 1013 277  6.8 2  6.1  67  270  107 281 -373  1
4210500 2861500  4  1 10  14.2 1014 281  7.1 3  5.9  61  206  218 287 -377  1
4210500 2861500  4  1 11  14.6 1014 277  6.4 5  5.8  57   79  275 313 -379  1
4210500 2861500  4  1 12  15.1 1015 279  7.8 6  5.7  54   52  288 333 -387  1
4210500 2861500  4  1 13  15.5 1015 285  6.4 6  5.7  53  107  311 340 -398  1
4210500 2861500  4  1 14  15.9 1016 287  6.8 5  5.6  51  222  287 333 -407  1
4210500 2861500  4  1 15  16.8 1016 285  6.4 5  5.4  47  176  256 327 -413  1
